Código Departamento,Código Municipio,Código Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo Centro Poblado,Longitud,,Latitud,Distrito,Tipo de Municipio,Area Metropolitana
05,05001,05001000,ANTIOQUIA,MEDELLÍN,MEDELLÍN,CABECERA MUNICIPAL (CM),"-75,5770556256",,"6,24894080956",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001001,ANTIOQUIA,MEDELLÍN,PALMITAS,CABECERA CORREGIMIENTO MUNICIPAL (C),"-75,6885222715",,"6,34378017765",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001004,ANTIOQUIA,MEDELLÍN,SANTA ELENA,CABECERA CORREGIMIENTO MUNICIPAL (C),"-75,4979390111",,"6,20992469483",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001009,ANTIOQUIA,MEDELLÍN,ALTAVISTA,CABECERA CORREGIMIENTO MUNICIPAL (C),"-75,6234190623",,"6,22328325516",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001010,ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,CABECERA CORREGIMIENTO MUNICIPAL (C),"-75,6268960123",,"6,23365412467",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001012,ANTIOQUIA,MEDELLÍN,LA LOMA,CENTRO POBLADO (CP),"-75,6304966679",,"6,27128701168",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001013,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,CENTRO POBLADO (CP),"-75,6133261609",,"6,20597935655",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001014,ANTIOQUIA,MEDELLÍN,BARRO BLANCO,CENTRO POBLADO (CP),"-75,6114714857",,"6,2577320569",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001015,ANTIOQUIA,MEDELLÍN,EL CERRO,CENTRO POBLADO (CP),"-75,6114714857",,"6,2577320569",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001017,ANTIOQUIA,MEDELLÍN,EL PATIO,CENTRO POBLADO (CP),"-75,6114714857",,"6,2577320569",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
05,05001,05001018,ANTIOQUIA,MEDELLÍN,EL PLACER,CENTRO POBLADO (CP),"-75,6114714857",,"6,2577320569",,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
