DEPARTAMENTO,MUNI,COD_MUNI
ANTIOQUIA,MEDELLÍN,05001
ANTIOQUIA,ABEJORRAL,05002
ANTIOQUIA,ABRIAQUÍ,05004
ANTIOQUIA,ALEJANDRÍA,05021
ANTIOQUIA,AMAGÁ,05030
ANTIOQUIA,AMALFI,05031
ANTIOQUIA,ANDES,05034
ANTIOQUIA,ANGELÓPOLIS,05036
ANTIOQUIA,ANGOSTURA,05038
ANTIOQUIA,ANORÍ,05040
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,05042
ANTIOQUIA,ANZÁ,05044
ANTIOQUIA,APARTADÓ,05045
ANTIOQUIA,ARBOLETES,05051
ANTIOQUIA,ARGELIA,05055
ANTIOQUIA,ARMENIA,05059
ANTIOQUIA,BARBOSA,05079
ANTIOQUIA,BELMIRA,05086
ANTIOQUIA,BELLO,05088
ANTIOQUIA,BETANIA,05091
ANTIOQUIA,BETULIA,05093
ANTIOQUIA,CIUDAD BOLÍVAR,05101
ANTIOQUIA,BRICEÑO,05107
ANTIOQUIA,BURITICÁ,05113
ANTIOQUIA,CÁCERES,05120
ANTIOQUIA,CAICEDO,05125
ANTIOQUIA,CALDAS,05129
ANTIOQUIA,CAMPAMENTO,05134
ANTIOQUIA,CAÑASGORDAS,05138
ANTIOQUIA,CARACOLÍ,05142
ANTIOQUIA,CARAMANTA,05145
ANTIOQUIA,CAREPA,05147
ANTIOQUIA,EL CARMEN DE VIBORAL,05148
ANTIOQUIA,CAROLINA,05150
ANTIOQUIA,CAUCASIA,05154
ANTIOQUIA,CHIGORODÓ,05172
ANTIOQUIA,CISNEROS,05190
ANTIOQUIA,COCORNÁ,05197
ANTIOQUIA,CONCEPCIÓN,05206
ANTIOQUIA,CONCORDIA,05209
ANTIOQUIA,COPACABANA,05212
ANTIOQUIA,DABEIBA,05234
ANTIOQUIA,DONMATÍAS,05237
ANTIOQUIA,EBÉJICO,05240
ANTIOQUIA,EL BAGRE,05250
ANTIOQUIA,ENTRERRÍOS,05264
ANTIOQUIA,ENVIGADO,05266
ANTIOQUIA,FREDONIA,05282
ANTIOQUIA,FRONTINO,05284
ANTIOQUIA,GIRALDO,05306
ANTIOQUIA,GIRARDOTA,05308
ANTIOQUIA,GÓMEZ PLATA,05310
ANTIOQUIA,GRANADA,05313
ANTIOQUIA,GUADALUPE,05315
ANTIOQUIA,GUARNE,05318
ANTIOQUIA,GUATAPÉ,05321
ANTIOQUIA,HELICONIA,05347
